id,pond_id,total_seed,started_at,finished_at,area,size,berat,id2,harvested_at,status,,,,,,
18223,32790,20000,9/28/2022 0:00,10/20/2022 0:00,1050,675,0,14432,10/20/2022,Failed,,,,,,
19239,36831,285714,11/15/2022 0:00,2/9/2023 0:00,706.5,156,438.74,15664,1/9/2023,Partial,,,,,,
19239,36831,285714,11/15/2022 0:00,2/9/2023 0:00,706.5,119,532.34,15823,1/17/2023,Partial,,,,,,
19239,36831,285714,11/15/2022 0:00,2/9/2023 0:00,706.5,119,506.88,15873,1/17/2023,Partial,,,,,,
19239,36831,285714,11/15/2022 0:00,2/9/2023 0:00,706.5,180,8.58,15994,1/17/2023,Partial,,,,,,
19239,36831,285714,11/15/2022 0:00,2/9/2023 0:00,706.5,225,16.88,16004,1/17/2023,Partial,,,,,,
19239,36831,285714,11/15/2022 0:00,2/9/2023 0:00,706.5,82,1357.86,16286,2/9/2023,Full,,,,,,
19239,36831,285714,11/15/2022 0:00,2/9/2023 0:00,706.5,82,24.64,16287,2/9/2023,Full,,,,,,
19239,36831,285714,11/15/2022 0:00,2/9/2023 0:00,706.5,190,67.48,16301,2/9/2023,Full,,,,,,
19239,36831,285714,11/15/2022 0:00,2/9/2023 0:00,706.5,190,7,16304,2/9/2023,Full,,,,,,
19239,36831,285714,11/15/2022 0:00,2/9/2023 0:00,706.5,190,0.6,16310,2/9/2023,Full,,,,,,
16064,31329,1272,3/20/2022 0:00,7/4/2022 0:00,7,50,2.56,11621,7/4/2022,Full,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,133,391.28,15654,1/8/2023,Partial,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,192,30,15698,1/8/2023,Partial,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,192,3,15762,1/8/2023,Partial,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,102,554.04,15808,1/16/2023,Partial,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,102,478.88,15860,1/16/2023,Partial,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,180,75.16,15981,1/16/2023,Partial,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,73.5,891.84,16292,2/10/2023,Full,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,73.5,31.46,16293,2/10/2023,Full,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,190,29,16315,2/10/2023,Full,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,190,6.44,16319,2/10/2023,Full,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,190,2,16320,2/10/2023,Full,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,190,2.78,16321,2/10/2023,Full,,,,,,
20151,36826,300222,11/15/2022 0:00,2/10/2023 0:00,706.5,190,5,16322,2/10/2023,Full,,,,,,
