cycle_id,size,weight,id,harvested_at,status
15219,86.11,277.32,12344,8/5/2022,Full
15219,86.11,45.03,12345,8/5/2022,Full
15005,87,390,11008,6/10/2022,Full
15005,87,714,11009,6/10/2022,Full
15005,87,300,11010,6/10/2022,Full
15005,87,570,11011,6/10/2022,Full
15005,87,234.65,11012,6/10/2022,Full
17860,200,105.5,12073,7/21/2022,Full
14094,18,5026,17260,3/18/2023,Full
18233,400,50,17117,4/3/2023,Partial
18233,310,110,17291,4/12/2023,Partial
18233,200,50,17543,4/25/2023,Partial
18233,190,135,17544,4/26/2023,Full
15508,49,368,13355,9/22/2022,Partial
15508,73,21,13356,9/22/2022,Partial
15508,40,376.35,13537,10/4/2022,Partial
15508,76,11.68,13538,10/4/2022,Partial
15508,200,4,13539,10/4/2022,Partial
15508,28,1300,14562,11/1/2022,Full
19077,150,200,17878,5/10/2023,Partial
19077,110,400,17934,5/16/2023,Full
16365,106.34,320.18,13291,9/18/2022,Partial
16365,99.61,0.59,13301,9/18/2022,Partial
16365,72.18,143.72,13483,9/29/2022,Partial
16365,78.18,0.26,13494,9/29/2022,Partial
16365,60.52,362.3,13656,10/10/2022,Partial
16365,60.52,3.48,13657,10/10/2022,Partial
16365,55.38,3042.01,13854,10/17/2022,Full
16365,55.38,53.98,13855,10/17/2022,Full
15066,114,287.81,5434,6/11/2021,Partial
15066,114,1,5460,6/11/2021,Partial
15066,77.83,498.9,5968,6/27/2021,Partial
15066,77.83,0.66,5969,6/27/2021,Partial
15066,63.6,608.86,6036,7/9/2021,Partial
15066,63.6,4.69,6037,7/9/2021,Partial
15066,50.822,2479.1,6417,7/29/2021,Full
15066,50.822,34.36,6418,7/29/2021,Full
12863,93.33,952.35,17007,3/29/2023,Partial
12863,158,21.3,17008,3/29/2023,Partial
12863,79.11,959.7,17215,4/8/2023,Partial
12863,124,117.05,17216,4/8/2023,Partial
19294,160,200,13758,10/14/2022,Partial
19294,125,20,13923,10/21/2022,Full
18538,23.5,6220,14939,12/2/2022,Full
15805,61,127.35,10344,4/20/2022,Full
15805,120,41.5,10345,4/20/2022,Full
15805,100,10,10346,4/20/2022,Full
15805,120,16.5,10347,4/20/2022,Full
18403,95.98,545.66,5907,6/18/2021,Partial
18403,95.98,0.5,5908,6/18/2021,Partial
18403,71.42,568.17,6004,6/30/2021,Partial
18403,71.42,2.66,6005,6/30/2021,Partial
18403,63.8,659.03,6006,7/8/2021,Partial
18403,63.8,4.8,6007,7/8/2021,Partial
18403,47.649,3193,6441,7/28/2021,Full
18403,47.649,107.25,6442,7/28/2021,Full
20124,43,1041,12927,8/13/2022,Full
20124,65,110,12928,8/13/2022,Full
16588,110,250,17400,4/11/2023,Full
